Tipo;Tiempo_CR;Tiempo_UTC;Lat;Lon;Profundidad_km;Magnitud_Mw;Acelaracion_cms2;Lugar_mayor_aceleracion
A;17/8/2018 17:49;17/8/2018 23:49;8,57;-83,194;21,8;5;38,68;Hosp. C. Neily
A;17/8/2018 17:22;17/8/2018 23:22;8,544;-83,217;29,8;6,2;239;Hosp. Ciudad Neily
M;15/8/2018 00:46;15/8/2018 06:46;9,424;-84,52;26,4;4,3;8,95;Parrita
M;15/8/2018 00:15;15/8/2018 06:15;9,416;-84,518;26,3;4,7;13,75;Parrita
M;14/8/2018 22:34;15/8/2018 04:34;9,441;-84,505;20,6;4,4;6,5;Parrita
M;12/8/2018 05:22;12/8/2018 11:22;9,335;-84,741;14,5;3,7;1,97;Jaco
M;9/8/2018 17:08;9/8/2018 23:08;8,171;-83,215;30,9;4,5;9,86;Puerto Jimenez
M;7/8/2018 19:24;8/8/2018 01:24;8,437;-83,596;32,9;4,5;28,91;Puerto Jimenez
M;7/8/2018 15:38;7/8/2018 21:38;9,674;-83,945;13,2;3,3;9,61;Sta Maria de Dota
M;27/7/2018 12:19;27/7/2018 18:19;9,774;-84,098;7;3;1,64;San Ignacio Acosta
A;27/7/2018 11:50;27/7/2018 17:50;9,764;-84,103;11,7;4,3;111,07;Cruz Roja Acosta
A;27/7/2018 09:33;27/7/2018 15:33;9,757;-84,102;3,8;3,7;29,27;Cruz Roja Acosta
M;25/7/2018 03:43;25/7/2018 09:43;9,329;-84,662;27,1;5;9,25;CTP Jaco
M;11/7/2018 20:11;12/7/2018 02:11;9,654;-84,17;5,2;3,3;2,82;San Ignacio Acosta
M;11/7/2018 15:42;11/7/2018 21:42;9,983;-84,443;51;3,7;1,21;Clinica Turrubares
M;2/7/2018 20:26;3/7/2018 02:26;10,115;-84,198;89,8;3,7;0,71;Clinica Turrubares
M;2/7/2018 03:32;2/7/2018 09:32;9,712;-84,795;9,5;3,8;2,9;Paquera
